,Power,Sound,Class
312,13.56,47.71,Норма
313,13.52,47.71,Норма
314,13.52,47.93,Норма
315,13.54,47.93,Норма
316,13.54,47.69,Норма
317,13.54,49.48,Норма
318,13.56,49.48,Норма
319,13.56,48.02,Норма
320,13.58,48.02,Норма
321,13.58,48.23,Норма
322,13.52,48.23,Норма
323,13.52,48.2,Норма
324,13.49,48.2,Норма
325,13.49,49.15,Норма
326,13.43,49.15,Норма
327,13.43,49.62,Норма
328,13.43,48.89,Норма
329,13.5,48.89,Норма
330,13.5,49.31,Норма
331,13.49,49.31,Норма
332,13.49,48.76,Норма
333,13.47,48.76,Норма
334,13.47,48.59,Норма
335,13.57,48.59,Норма
336,13.57,47.68,Норма
337,13.49,47.68,Норма
338,13.49,48.92,Норма
339,13.49,48.85,Норма
340,13.5,48.85,Норма
341,13.5,48.65,Норма
342,13.51,48.65,Норма
343,13.51,53.47,Норма
344,13.46,53.47,Норма
345,13.46,51.07,Норма
346,13.43,51.07,Норма
347,13.43,48.96,Норма
348,13.56,48.96,Норма
349,13.56,50.95,Норма
350,13.58,50.95,Норма
351,13.58,47.74,Норма
352,13.54,47.74,Норма
353,13.54,50.23,Норма
354,13.53,50.23,Норма
355,13.53,47.88,Норма
356,13.56,47.88,Норма
357,13.56,48.86,Норма
358,13.54,48.86,Норма
359,13.54,48.12,Норма
360,13.53,48.12,Норма
361,13.53,49.3,Норма
362,13.56,49.3,Норма
363,13.56,48.17,Норма
364,13.58,48.17,Норма
365,13.58,47.96,Норма
366,13.55,47.96,Норма
367,13.55,48.25,Норма
368,13.48,48.25,Норма
369,13.48,47.87,Норма
370,13.53,47.87,Норма
371,13.53,47.93,Норма
372,13.56,47.93,Норма
373,13.56,47.76,Норма
374,13.58,47.76,Норма
375,13.58,47.53,Норма
376,13.49,47.53,Норма
377,13.49,47.59,Норма
378,13.51,47.59,Норма
379,13.51,47.85,Норма
380,13.48,47.85,Норма
381,13.48,47.89,Норма
382,13.51,47.89,Норма
383,13.51,47.87,Норма
384,13.49,47.87,Норма
385,13.49,48.01,Норма
386,13.52,48.01,Норма
387,13.52,47.83,Норма
388,13.44,47.83,Норма
389,13.44,49.53,Норма
390,13.43,49.53,Норма
391,13.43,48.08,Норма
392,13.5,48.08,Норма
393,13.5,51.36,Норма
394,13.54,51.36,Норма
395,13.54,49.14,Норма
396,13.5,49.14,Норма
397,13.5,47.81,Норма
398,13.53,47.81,Норма
399,13.53,47.77,Норма
400,13.5,47.77,Норма
401,13.5,47.76,Норма
402,13.48,47.76,Норма
403,13.48,47.95,Норма
404,13.48,48.25,Норма
405,13.46,48.25,Норма
406,13.46,48.16,Норма
407,13.52,48.16,Норма
408,13.52,47.99,Норма
409,13.58,47.99,Норма
410,13.6,47.99,Норма
411,13.6,47.93,Норма
412,13.62,47.93,Норма
413,13.62,47.68,Норма
414,13.55,47.68,Норма
415,13.55,48.04,Норма
416,13.57,48.04,Норма
417,13.57,48.19,Норма
418,13.56,48.19,Норма
419,13.56,48.14,Норма
420,13.55,48.14,Норма
421,13.55,48.16,Норма
422,13.57,48.16,Норма
423,13.57,48.06,Норма
424,13.56,48.06,Норма
425,13.56,47.52,Норма
426,13.55,47.52,Норма
427,13.55,47.48,Норма
428,13.54,47.48,Норма
429,13.54,47.84,Норма
430,13.58,47.84,Норма
431,13.58,47.65,Норма
432,13.58,47.9,Норма
433,13.5,47.9,Норма
434,13.5,48.3,Норма
435,13.55,48.3,Норма
436,13.55,47.82,Норма
437,13.51,47.82,Норма
438,13.51,47.7,Норма
439,13.5,47.7,Норма
440,13.5,47.73,Норма
441,13.51,47.73,Норма
442,13.51,48.18,Норма
443,13.51,48.47,Норма
444,13.52,48.47,Норма
445,13.52,48.45,Норма
446,13.54,48.45,Норма
447,13.54,48.17,Норма
448,13.57,48.17,Норма
449,13.57,48.94,Норма
450,13.54,48.94,Норма
451,13.54,48.04,Норма
452,13.55,48.04,Норма
453,13.55,47.87,Норма
454,13.52,47.87,Норма
455,13.52,48.26,Норма
456,13.5,48.26,Норма
457,13.5,47.79,Норма
458,13.49,47.79,Норма
459,13.49,47.91,Норма
460,13.52,47.91,Норма
461,13.52,47.92,Норма
462,13.5,47.92,Норма
463,13.5,47.86,Норма
464,13.54,47.86,Норма
465,13.54,47.77,Норма
466,13.53,47.77,Норма
467,13.53,47.96,Норма
468,13.51,47.96,Норма
469,13.51,47.86,Норма
470,13.53,47.86,Норма
471,13.53,47.9,Норма
472,13.51,47.9,Норма
473,13.51,47.77,Норма
474,13.54,47.77,Норма
475,13.54,47.82,Норма
476,13.49,47.82,Норма
477,13.49,47.85,Норма
478,13.51,47.85,Норма
479,13.51,47.83,Норма
480,13.5,47.83,Норма
481,13.5,47.89,Норма
482,13.54,47.89,Норма
483,13.54,47.35,Норма
484,13.57,47.35,Норма
485,13.57,47.93,Норма
486,13.58,47.93,Норма
487,13.58,47.94,Норма
488,13.56,47.94,Норма
489,13.56,48.49,Норма
490,13.59,48.49,Норма
491,13.59,51.86,Норма
492,13.58,51.86,Норма
493,13.58,52.9,Норма
494,13.58,48.95,Норма
495,13.53,48.95,Норма
496,13.53,47.75,Норма
497,13.6,47.75,Норма
498,13.6,47.66,Норма
499,13.61,47.66,Норма
500,13.61,48.07,Норма
501,13.6,48.07,Норма
502,13.6,48.05,Норма
503,13.66,48.05,Норма
504,13.66,47.62,Норма
505,13.59,47.62,Норма
506,13.59,47.33,Норма
507,13.62,47.33,Норма
508,13.62,47.74,Норма
509,13.61,47.74,Норма
510,13.61,47.77,Норма
511,13.62,47.77,Норма
512,13.62,47.43,Норма
513,13.6,47.43,Норма
514,13.6,47.95,Норма
515,13.64,47.95,Норма
516,13.64,47.43,Норма
517,13.6,47.43,Норма
518,13.6,47.58,Норма
519,13.62,47.58,Норма
520,13.62,47.43,Норма
521,13.65,47.43,Норма
522,13.65,47.75,Норма
523,13.65,47.67,Норма
524,13.6,47.67,Норма
525,13.6,48.14,Норма
526,13.67,48.14,Норма
527,13.67,48.17,Норма
528,13.67,47.41,Норма
529,13.66,47.41,Норма
530,13.66,47.54,Норма
531,13.62,47.54,Норма
532,13.62,47.83,Норма
533,13.66,47.83,Норма
534,13.66,47.68,Норма
535,13.57,47.68,Норма
536,13.57,47.85,Норма
537,13.53,47.85,Норма
538,13.53,47.86,Норма
539,13.58,47.86,Норма
540,13.58,47.48,Норма
541,13.56,47.48,Норма
542,13.56,47.61,Норма
543,13.53,47.61,Норма
544,13.53,48.38,Норма
545,13.56,48.38,Норма
546,13.56,48.13,Норма
547,13.55,48.13,Норма
548,13.55,47.49,Норма
549,13.5,47.49,Норма
550,13.5,48.07,Норма
551,13.57,48.07,Норма
552,13.57,49.02,Норма
553,13.55,49.02,Норма
554,13.55,48.15,Норма
555,13.57,48.15,Норма
556,13.57,47.55,Норма
557,13.53,47.55,Норма
558,13.53,48.19,Норма
559,13.56,48.19,Норма
560,13.56,48.31,Норма
561,13.54,48.31,Норма
562,13.54,48.25,Норма
563,13.53,48.25,Норма
564,13.53,48.49,Норма
565,13.53,47.8,Норма
566,13.52,47.8,Норма
567,13.52,48.38,Норма
568,13.54,48.38,Норма
569,13.54,47.77,Норма
570,13.51,47.77,Норма
571,13.51,48.13,Норма
572,13.54,48.13,Норма
573,13.54,47.95,Норма
574,13.5,47.95,Норма
575,13.5,48.12,Норма
576,13.54,48.12,Норма
577,13.54,48,Норма
578,13.19,48,Норма
579,13.19,47.87,Норма
580,13.42,47.87,Норма
581,13.42,47.64,Норма
582,13.42,47.87,Норма
583,13.48,47.87,Норма
584,13.48,47.8,Норма
585,13.46,47.8,Норма
586,13.46,47.99,Норма
587,13.46,47.73,Норма
588,13.48,47.73,Норма
589,13.48,47.61,Норма
590,13.46,47.61,Норма
591,13.46,47.81,Норма
592,13.47,47.81,Норма
593,13.47,48.06,Норма
594,13.48,48.06,Норма
595,13.48,47.86,Норма
596,13.41,47.86,Норма
597,13.41,47.94,Норма
598,13.4,47.94,Норма
599,13.4,47.5,Норма
600,13.4,48.11,Норма
601,13.4,47.77,Норма
602,13.42,47.77,Норма
603,13.42,47.54,Норма
604,13.41,47.54,Норма
605,13.41,48.1,Норма
606,13.43,48.1,Норма
607,13.43,48.3,Норма
608,13.39,48.3,Норма
609,13.39,47.84,Норма
610,13.37,47.84,Норма
611,13.37,47.52,Норма
612,13.39,47.52,Норма
613,13.39,48.28,Норма
614,13.42,48.28,Норма
615,13.42,56.41,Норма
616,13.43,56.41,Норма
617,13.43,47.81,Норма
618,13.42,47.81,Норма
619,13.42,47.72,Норма
620,13.41,47.72,Норма
621,13.41,47.29,Норма
622,13.42,47.29,Норма
623,13.42,48.05,Норма
624,13.39,48.05,Норма
625,13.39,47.84,Норма
626,13.38,47.84,Норма
627,13.38,48.03,Норма
628,13.42,48.03,Норма
629,13.42,47.24,Норма
630,13.44,47.24,Норма
631,13.44,47.66,Норма
632,13.46,47.66,Норма
633,13.46,47.72,Норма
634,13.44,47.72,Норма
635,13.44,47.88,Норма
636,13.43,47.88,Норма
637,13.43,47.64,Норма
638,13.46,47.64,Норма
639,13.46,48.21,Норма
640,13.48,48.21,Норма
641,13.48,47.91,Норма
642,13.49,47.91,Норма
643,13.49,47.58,Норма
644,13.49,47.35,Норма
645,13.5,47.35,Норма
646,13.5,47.39,Норма
647,13.47,47.39,Норма
648,13.47,47.79,Норма
649,13.44,47.79,Норма
650,13.44,47.85,Норма
651,13.38,47.85,Норма
652,13.38,48.01,Норма
653,13.39,48.01,Норма
654,13.39,47.6,Норма
655,13.39,48,Норма
656,13.39,47.96,Норма
657,13.35,47.96,Норма
658,13.35,47.71,Норма
659,13.44,47.71,Норма
660,13.44,47.41,Норма
661,13.46,47.41,Норма
662,13.46,47.94,Норма
663,13.48,47.94,Норма
664,13.48,47.89,Норма
665,13.5,47.89,Норма
666,13.5,48.08,Норма
667,13.41,48.08,Норма
668,13.41,47.78,Норма
669,13.4,47.78,Норма
670,13.4,47.88,Норма
671,13.44,47.88,Норма
672,13.44,48.43,Норма
673,13.43,48.43,Норма
674,13.43,47.86,Норма
675,13.5,47.86,Норма
676,13.5,47.78,Норма
677,13.39,47.78,Норма
678,13.39,47.6,Норма
679,13.43,47.6,Норма
680,13.43,47.99,Норма
681,13.49,47.99,Норма
682,13.49,48.44,Норма
683,13.5,48.44,Норма
684,13.5,48.24,Норма
685,13.46,48.24,Норма
686,13.46,47.42,Норма
687,13.45,47.42,Норма
688,13.45,49.32,Норма
689,13.43,49.32,Норма
690,13.43,48.42,Норма
691,13.47,48.42,Норма
692,13.47,48.25,Норма
693,13.51,48.25,Норма
694,13.51,47.87,Норма
695,13.5,47.87,Норма
696,13.5,47.48,Норма
697,13.52,47.48,Норма
698,13.52,48.02,Норма
699,13.54,48.02,Норма
700,13.54,47.98,Норма
701,13.52,47.98,Норма
702,13.52,48.14,Норма
703,13.53,48.14,Норма
704,13.53,55.08,Норма
705,13.54,55.08,Норма
706,13.54,50.15,Норма
707,13.49,50.15,Норма
708,13.49,50.84,Норма
709,13.54,50.84,Норма
710,13.54,47.81,Норма
711,13.54,47.97,Норма
712,13.54,47.39,Норма
713,13.54,47.63,Норма
714,13.53,47.63,Норма
715,13.53,47.8,Норма
716,13.54,47.8,Норма
717,13.54,48.31,Норма
718,13.54,48.22,Норма
719,13.5,48.22,Норма
720,13.5,48.45,Норма
721,13.52,48.45,Норма
722,13.52,48.02,Норма
723,13.47,48.02,Норма
724,13.47,47.96,Норма
725,13.48,47.96,Норма
726,13.48,48.19,Норма
727,13.49,48.19,Норма
728,13.5,48.19,Норма
729,13.5,47.36,Норма
730,13.53,47.36,Норма
731,13.53,48.3,Норма
732,13.51,48.3,Норма
733,13.51,47.74,Норма
734,13.52,47.74,Норма
735,13.52,47.51,Норма
736,13.54,47.51,Норма
737,13.54,47.54,Норма
738,13.43,47.54,Норма
739,13.43,47.49,Норма
740,13.41,47.49,Норма
741,13.41,47.55,Норма
742,13.46,47.55,Норма
743,13.46,47.69,Норма
744,13.44,47.69,Норма
745,13.44,47.78,Норма
746,13.43,47.78,Норма
747,13.43,47.95,Норма
748,13.45,47.95,Норма
749,13.45,48.57,Норма
750,13.42,48.57,Норма
751,13.42,47.86,Норма
752,13.48,47.86,Норма
753,13.47,47.86,Норма
754,13.47,47.83,Норма
755,13.48,47.83,Норма
756,13.48,47.56,Норма
757,13.53,47.56,Норма
758,13.53,47.63,Норма
759,13.57,47.63,Норма
760,13.57,48.31,Норма
761,13.54,48.31,Норма
762,13.54,47.49,Норма
763,13.53,47.49,Норма
764,13.53,47.89,Норма
765,13.48,47.89,Норма
766,13.48,47.8,Норма
767,13.51,47.8,Норма
768,13.51,47.94,Норма
769,13.53,47.94,Норма
770,13.53,48.09,Норма
771,13.59,48.09,Норма
772,13.59,47.68,Норма
773,13.57,47.68,Норма
774,13.57,48.18,Норма
775,13.58,48.18,Норма
776,13.58,48.16,Норма
777,13.56,48.16,Норма
778,13.56,47.81,Норма
779,13.57,47.81,Норма
780,13.57,55.38,Норма
781,13.57,48.48,Норма
782,13.57,57.52,Норма
783,13.59,57.52,Норма
784,13.59,49.69,Норма
785,13.56,49.69,Норма
786,13.56,50.79,Норма
787,13.58,50.79,Норма
788,13.58,48.31,Норма
789,13.59,48.31,Норма
790,13.59,48.79,Норма
791,13.55,48.79,Норма
792,13.55,49.4,Норма
793,13.57,49.4,Норма
794,13.57,48.27,Норма
795,13.52,48.27,Норма
796,13.52,52.01,Норма
797,13.54,52.01,Норма
798,13.54,49.03,Норма
799,13.52,49.03,Норма
800,13.52,49.25,Норма
801,13.52,52.01,Норма
802,13.52,53.61,Норма
803,13.53,53.61,Норма
804,13.53,48.19,Норма
805,13.55,48.19,Норма
806,13.55,48.49,Норма
807,13.56,48.49,Норма
808,13.56,48.59,Норма
809,13.55,48.59,Норма
810,13.55,48.6,Норма
811,13.5,48.6,Норма
812,13.5,49.45,Норма
813,13.49,49.45,Норма
814,13.49,61.51,Норма
815,13.46,61.51,Норма
816,13.46,48.31,Норма
817,13.44,48.31,Норма
818,13.44,47.9,Норма
819,13.46,47.9,Норма
820,13.46,47.87,Норма
821,13.43,47.87,Норма
822,13.43,47.91,Норма
823,13.47,47.91,Норма
824,13.47,50.72,Норма
825,13.48,50.72,Норма
826,13.48,50.29,Норма
827,13.41,50.29,Норма
828,13.41,52.64,Норма
829,13.42,52.64,Норма
830,13.42,50.73,Норма
831,13.4,50.73,Норма
832,13.4,49.92,Норма
833,13.4,51.11,Норма
834,13.36,51.11,Норма
835,13.36,48.74,Норма
836,13.45,48.74,Норма
837,13.45,48.75,Норма
838,13.41,48.75,Норма
839,13.41,49.61,Норма
840,13.38,49.61,Норма
841,13.38,48.67,Норма
842,13.4,48.67,Норма
843,13.4,48.56,Норма
844,13.42,48.56,Норма
845,13.42,49.1,Норма
846,13.41,49.1,Норма
847,13.41,51.66,Норма
848,13.43,51.66,Норма
849,13.43,49.12,Норма
850,13.41,49.12,Норма
851,13.41,48.66,Норма
852,13.43,48.66,Норма
853,13.43,47.99,Норма
854,13.4,47.99,Норма
855,13.4,50.96,Норма
856,13.37,50.96,Норма
857,13.37,49.78,Норма
858,13.34,49.78,Норма
859,13.34,48.38,Норма
860,13.4,48.38,Норма
861,13.4,48.1,Норма
862,13.38,48.1,Норма
863,13.38,48.52,Норма
864,13.36,48.52,Норма
865,13.36,47.88,Норма
866,13.42,47.88,Норма
867,13.42,48.3,Норма
868,13.42,48.05,Норма
869,13.36,48.05,Норма
870,13.36,47.68,Норма
871,13.34,47.68,Норма
872,13.34,47.74,Норма
873,13.38,47.74,Норма
874,13.38,48.03,Норма
875,13.41,48.03,Норма
876,13.41,47.88,Норма
877,13.36,47.88,Норма
878,13.36,48.83,Норма
879,13.31,48.83,Норма
880,13.31,47.96,Норма
881,13.34,47.96,Норма
882,13.34,48.48,Норма
883,13.31,48.48,Норма
884,13.31,47.74,Норма
885,13.39,47.74,Норма
886,13.39,50.19,Норма
887,13.4,50.19,Норма
888,13.4,48.31,Норма
889,13.38,48.31,Норма
890,13.38,47.72,Норма
891,13.42,47.72,Норма
892,13.41,47.72,Норма
893,13.41,47.74,Норма
894,13.4,47.74,Норма
895,13.4,47.96,Норма
896,13.38,47.96,Норма
897,13.38,47.63,Норма
898,13.42,47.63,Норма
899,13.42,48.06,Норма
900,13.55,48.06,Норма
901,13.55,48.08,Норма
902,13.53,48.08,Норма
903,13.53,47.76,Норма
904,13.52,47.76,Норма
905,13.52,48.14,Норма
906,13.48,48.14,Норма
907,13.48,47.7,Норма
908,13.51,47.7,Норма
909,13.51,47.85,Норма
910,13.5,47.85,Норма
911,13.5,47.91,Норма
912,13.54,47.91,Норма
913,13.54,47.68,Норма
914,13.49,47.68,Норма
915,13.49,49.16,Норма
916,13.57,49.16,Норма
917,13.57,47.31,Норма
918,13.56,47.31,Норма
919,13.56,48.09,Норма
920,13.46,48.09,Норма
921,13.46,47.81,Норма
922,13.47,47.81,Норма
923,13.47,47.91,Норма
924,13.51,47.91,Норма
925,13.51,47.93,Норма
926,13.54,47.93,Норма
927,13.54,48.24,Норма
928,13.53,48.24,Норма
929,13.53,48.3,Норма
930,13.48,48.3,Норма
931,13.48,48.24,Норма
932,13.5,48.24,Норма
933,13.5,48.03,Норма
934,13.51,48.03,Норма
935,13.51,48.07,Норма
936,13.52,48.07,Норма
937,13.52,48.06,Норма
938,13.52,47.67,Норма
939,13.57,47.67,Норма
940,13.57,48.1,Норма
941,13.5,48.1,Норма
942,13.5,47.91,Норма
943,13.51,47.91,Норма
944,13.51,47.81,Норма
945,13.51,47.95,Норма
946,13.53,47.95,Норма
947,13.53,48.11,Норма
948,13.58,48.11,Норма
949,13.58,50.71,Норма
950,13.57,50.71,Норма
951,13.57,48.65,Норма
952,13.59,48.65,Норма
953,13.59,48.16,Норма
954,13.67,48.16,Норма
955,13.67,48.21,Норма
956,13.61,48.21,Норма
957,13.61,48.12,Норма
958,13.61,48.03,Норма
959,13.64,48.03,Норма
960,13.64,54.3,Норма
961,13.67,54.3,Норма
962,13.67,51.78,Норма
963,13.64,51.78,Норма
964,13.64,48.78,Норма
965,13.62,48.78,Норма
966,13.62,51.5,Норма
967,13.58,51.5,Норма
968,13.58,49.62,Норма
969,13.57,49.62,Норма
970,13.57,48.18,Норма
971,13.52,48.18,Норма
972,13.52,47.73,Норма
973,13.5,47.73,Норма
974,13.5,47.81,Норма
975,13.52,47.81,Норма
976,13.52,47.71,Норма
977,13.56,47.71,Норма
978,13.56,47.64,Норма
979,13.61,47.64,Норма
980,13.61,47.79,Норма
981,13.54,47.79,Норма
982,13.54,47.86,Норма
983,13.53,47.86,Норма
984,13.53,48.2,Норма
985,13.58,48.2,Норма
986,13.58,48.3,Норма
987,13.58,47.59,Норма
988,13.56,47.59,Норма
989,13.56,48.34,Норма
990,13.49,48.34,Норма
991,13.49,47.44,Норма
992,13.47,47.44,Норма
993,13.47,47.84,Норма
994,13.42,47.84,Норма
995,13.42,48.07,Норма
996,13.49,48.07,Норма
997,13.49,48.02,Норма
998,13.51,48.02,Норма
