dates,Гренландское,Восточно-Сибирское,Чукотское,Берингово,Лаптевых,Карское,Баренцево
1990-02-26,441784,1261652,1053108,1636404,765576,850836,502348
1990-02-27,438060,1261652,1053108,1636012,765576,855736,505288
1990-02-28,443352,1261652,1053108,1636600,765380,848288,475300
1990-03-01,479808,1261652,1053108,1635032,764988,799876,450016
1990-03-02,478436,1261652,1053108,1637384,763224,785372,471968
1990-03-03,470204,1261652,1053108,1637188,762832,827316,513520
1990-03-04,458052,1261652,1053108,1638560,759304,832020,552916
1990-03-05,450800,1261456,1053108,1638560,762832,843780,595056
1990-03-06,446488,1261260,1053108,1638560,765576,848484,641312
1990-03-07,484120,1261652,1053108,1636796,765576,853972,680120
1990-03-08,504504,1261652,1053108,1638168,765576,857108,736568
1990-03-09,488824,1261652,1053108,1638560,765576,856520,750680
1990-03-10,486864,1261652,1053108,1638560,765576,857892,761264
1990-03-11,491568,1261652,1053108,1638560,765576,857500,754992
1990-03-12,507640,1261652,1053108,1638560,765576,846720,732256
1990-03-13,502152,1261456,1053108,1638560,765576,857108,713048
1990-03-14,463148,1261456,1053108,1638560,765380,858088,721084
1990-03-15,442960,1261260,1053108,1638560,765576,858480,712264
1990-03-16,444332,1261064,1053108,1638560,765576,858480,617988
1990-03-17,451976,1261652,1053108,1638560,765576,858480,584080
1990-03-18,438452,1261652,1053108,1638560,764792,855148,597604
1990-03-19,448056,1261456,1053108,1638560,763224,852796,555856
1990-03-20,451388,1261652,1053108,1638560,765576,852404,512540
1990-03-21,447860,1261652,1053108,1636992,765576,854756,576240
1990-03-22,434336,1261652,1053108,1636796,765576,857892,605052
1990-03-23,428064,1261652,1053108,1638560,765576,858480,617596
1990-03-24,432768,1256556,1053108,1638560,764988,858284,618968
1990-03-25,440804,1260280,1053108,1638560,763028,857892,624064
1990-03-26,364560,1259300,1053108,1638560,765576,857892,583296
1990-03-27,387884,1261064,1053108,1637972,763028,852208,468244
1990-03-28,421596,1260868,1053108,1636992,754600,833980,444920
1990-03-29,464520,1261652,1053108,1636796,759108,822416,469028
1990-03-30,466676,1261652,1053108,1636992,759108,816340,509404
1990-03-31,426496,1261260,1053108,1636992,763420,799092,498820
1990-04-01,466480,1261260,1053108,1636404,765380,821632,554484
1990-04-02,484120,1251264,1053108,1637580,765576,839468,604660
1990-04-03,484512,1246168,1053108,1638364,765576,847504,632296
1990-04-04,446488,1261456,1053108,1638560,765576,851228,663852
1990-04-05,475888,1244600,1053108,1637776,765576,855344,694820
1990-04-06,495880,1196776,1053108,1636600,765576,858480,716184
1990-04-07,472556,1157576,1053108,1636404,765576,858284,716380
1990-04-08,472360,1153264,1044680,1636992,765576,857500,732648
1990-04-09,463148,1218924,1034488,1637384,764400,858284,710696
1990-04-10,490784,1226568,1044484,1637776,762048,856912,681884
1990-04-11,497252,1209516,1043700,1637580,764792,855344,593488
1990-04-12,499604,1222060,1043308,1636992,762048,842604,518420
1990-04-13,477652,1225392,1044288,1637384,736176,803796,452564
1990-04-14,464324,1236760,1047816,1637972,720104,792428,425908
1990-04-15,460404,1221864,1048992,1638364,713440,786744,457856
1990-04-16,403172,1190700,1053108,1638560,744800,808892,448840
1990-04-17,395136,1210692,1053108,1638560,756756,805168,398076
1990-04-18,400036,1231272,1053108,1638560,756560,787136,360640
1990-04-19,391020,1251852,1053108,1638560,761264,778316,377692
1990-04-20,322224,1260280,1053108,1638560,764204,773612,355740
1990-04-21,315168,1260280,1053108,1638560,764400,762636,315168
1990-04-22,363580,1258908,1053108,1638560,765576,756756,303212
1990-04-23,365540,1260672,1053108,1638560,765576,762636,293804
1990-04-24,375144,1225588,1052912,1638560,761852,758324,283808
1990-04-25,356132,1236172,1038408,1638560,759892,755384,293020
1990-04-26,366716,1254988,1033704,1638560,755580,753032,323400
1990-04-27,382788,1248912,1045072,1638364,764008,749308,302624
1990-04-28,402388,1252832,1044092,1638364,746760,728336,273812
1990-04-29,429436,1222256,1051736,1638364,707364,719516,272636
1990-04-30,437276,1185408,1053108,1638364,691096,736764,289100
1990-05-01,426496,1161692,1053108,1638168,675808,747936,308504
1990-05-02,432572,1131704,1053108,1637972,683060,754012,326536
1990-05-03,393372,1122688,1053108,1638168,708344,758716,343000
1990-05-04,377888,1106812,1053108,1637776,716772,763224,372204
1990-05-05,361620,1097404,1052520,1637580,737352,769496,372988
1990-05-06,343392,1088976,1046248,1636600,744800,773416,358876
1990-05-07,319284,1076236,1039192,1638364,733824,761264,354956
1990-05-08,301840,1059380,1036840,1637776,745976,756168,360836
1990-05-09,280280,1037428,1031940,1636600,724024,762832,384552
1990-05-10,308504,1046640,1027040,1634640,710500,750484,355740
1990-05-11,305368,1026256,1028020,1634836,713244,738920,362992
1990-05-12,262444,1033116,1023120,1635032,726180,701288,366128
1990-05-13,267736,1022728,1013320,1634248,673652,697564,360248
1990-05-14,310660,1008812,1013516,1634640,649152,696780,356720
1990-05-15,263816,992348,994308,1634640,661892,738920,359856
1990-05-16,274596,992544,977648,1635228,680512,750680,350448
1990-05-17,242256,968436,877100,1635424,687372,746172,336728
1990-05-18,221480,930412,766948,1618960,696976,730884,322028
1990-05-19,226380,942760,807128,1579956,692860,709716,294000
1990-05-20,228144,932372,719908,1565452,633080,690116,273616
1990-05-21,241472,936880,822024,1559572,616812,682864,239120
1990-05-22,235200,924336,905912,1565452,636804,690704,222068
1990-05-23,211680,933744,940016,1545068,654444,695800,230888
1990-05-24,195020,943348,959812,1536248,663852,685608,215600
1990-05-25,230300,956676,939232,1540364,652288,689724,208740
1990-05-26,222852,950208,855344,1542912,644840,702856,194236
1990-05-27,197764,947072,805168,1533112,629944,700504,199332
1990-05-28,195804,927864,835548,1471372,592704,705404,211484
1990-05-29,214424,912576,901208,1467452,543312,704032,225008
1990-05-30,230496,878080,891800,1457652,540372,695800,210112
1990-05-31,228536,833784,873768,1450008,530376,706776,200704
1990-06-01,218932,780276,856128,1417472,503720,703052,159348
1990-06-02,188160,796936,864360,1412572,472360,705404,166992
1990-06-03,192864,762048,873768,1433740,460208,705600,186984
1990-06-04,182868,746956,878668,1471568,447860,709324,199136
1990-06-05,188356,720300,886900,1501752,413168,710304,201096
1990-06-06,209132,675220,883176,1514100,383964,704620,208348
1990-06-07,219912,647780,881804,1503516,356132,665224,203448
1990-06-08,220696,673456,882196,1499008,344568,660520,211876
1990-06-09,205800,679924,889644,1509984,365932,639548,197764
1990-06-10,189140,685412,884744,1510964,353780,610932,206584
1990-06-11,187572,735000,857892,1508220,368480,601328,220108
1990-06-12,181496,755188,862988,1516452,333004,541744,223832
1990-06-13,188356,717948,863968,1529780,342216,544488,226968
1990-06-14,169736,628572,808108,1527624,392784,559384,224028
1990-06-15,165228,705404,834568,1492736,385728,555660,213444
1990-06-16,155428,734412,843780,1421000,402584,563108,203448
1990-06-17,135044,732060,832020,1324176,393960,567420,210112
1990-06-18,104468,711480,799484,1252244,487844,551152,212660
1990-06-19,107016,683060,781452,1190504,493136,546644,206584
1990-06-20,102116,595840,738136,1070748,497056,521556,200704
1990-06-21,110152,607404,751856,939232,478632,507248,197764
1990-06-22,104860,605444,739900,892584,456876,505288,199724
1990-06-23,103684,635040,707168,694232,468440,491372,198744
1990-06-24,98588,609756,698152,684432,463932,491960,201684
1990-06-25,93688,638568,684824,769104,444332,468636,197960
1990-06-26,92708,655816,595252,790664,424928,481768,199332
1990-06-27,84280,630728,494900,1032920,465108,484708,200312
1990-06-28,82712,560364,549388,1043308,427280,496664,198744
1990-06-29,80948,510776,469420,991760,389256,404348,194628
1990-06-30,95060,430024,387884,993328,315756,401800,197960
1990-07-01,87416,380436,354172,1025080,169932,456680,190708
1990-07-02,74480,299096,393372,998816,140336,473144,163072
1990-07-03,85456,139356,493920,1099952,182868,473340,165424
1990-07-04,92316,181496,541352,1100736,185416,473928,163268
1990-07-05,92512,255388,500192,1156008,222852,453544,166404
1990-07-06,86436,355544,443352,1182272,283612,409052,164444
1990-07-07,78008,402388,499016,1032332,247744,441980,148764
1990-07-08,67816,380436,586432,1069964,222460,396116,130732
1990-07-09,67620,409052,594664,1189132,258328,349468,124068
1990-07-10,77812,394156,595644,1228528,241276,312032,128380
1990-07-11,73696,373772,518224,1146012,184044,221088,127204
1990-07-12,72716,395136,493528,1167180,139160,248528,132300
1990-07-13,64876,401604,442372,1232840,95060,291060,134848
1990-07-14,59780,392392,416108,1227940,162288,330260,132496
1990-07-15,56252,387492,404152,1106616,249116,336728,129164
1990-07-16,48412,329084,404740,1080940,239512,377300,119168
1990-07-17,44884,343196,369068,910028,267736,362992,115444
1990-07-18,42336,340256,381220,1020180,294980,364952,113288
1990-07-19,28224,350644,389060,997052,282436,374556,98980
1990-07-20,28028,347312,392000,912380,289688,349076,101920
1990-07-21,17836,372792,408856,977648,285180,330652,101724
1990-07-22,21168,369068,443940,1119160,291452,325360,97412
1990-07-23,42336,428456,414540,1178156,300468,358288,103292
1990-07-24,43904,411208,401408,1170904,302036,318304,104272
1990-07-25,31556,365736,367108,1091720,304976,202860,89768
1990-07-26,35280,419048,415128,1154636,304976,159152,84672
1990-07-27,34104,408464,449036,1110144,294392,215012,80948
1990-07-28,34692,399840,502152,1137584,304584,191688,82124
1990-07-29,24696,326732,409248,1185212,249704,201880,76244
1990-07-30,21168,314776,265776,928060,226772,235004,68796
1990-07-31,23912,290276,172676,823200,244412,247940,69972
1990-08-01,29400,290080,221480,884352,256172,275184,92708
1990-08-02,25872,311836,205016,900816,241668,281848,98588
1990-08-03,27048,341628,409248,1009008,231476,287924,101528
1990-08-04,27832,351624,441196,1039388,241472,264600,101528
1990-08-05,31752,343980,453936,1054676,233240,189336,98588
1990-08-06,33712,340452,408072,1028608,207368,179536,99176
1990-08-07,34692,334964,480984,1051344,185612,76440,93884
1990-08-08,35084,326732,505092,1058792,175812,170716,88004
1990-08-09,34888,272832,501956,1032136,198548,104468,88788
1990-08-10,35084,268716,497252,1070748,126812,130928,85260
1990-08-11,33124,195608,440608,1072708,123088,65268,72912
1990-08-12,31360,195020,429436,1032332,66640,57428,49392
1990-08-13,31360,195020,429436,1032332,66640,57428,49392
1990-08-14,29008,173264,362208,1056244,107996,123872,81536
1990-08-15,34496,153664,333592,1031940,136220,129948,83888
1990-08-16,38612,162484,323988,1097992,86240,122696,93100
1990-08-17,40376,196196,344764,1131900,58604,109368,99372
1990-08-18,39984,213640,371224,1112300,126420,104272,94864
1990-08-19,40572,217952,415912,1082900,93884,100548,108388
1990-08-20,38416,221676,437668,1084076,113092,91924,104272
1990-08-21,35672,229320,425712,1105832,127792,94276,97608
1990-08-22,39984,254996,428260,1138368,135632,62524,100156
1990-08-23,39200,255976,451192,1184232,142100,88788,97216
1990-08-24,36848,242060,449428,1166592,142100,88592,93688
1990-08-25,36848,242060,449428,1166592,142100,88592,93688
1990-08-26,36848,242060,449428,1166592,142100,88592,93688
1990-08-27,34300,213640,412188,1165416,135044,94472,105448
1990-08-28,33124,216580,410816,1137388,135436,108780,101136
1990-08-29,31360,219324,414540,1140916,150528,111916,91924
1990-08-30,27440,223832,415912,1112300,151704,106820,91140
1990-08-31,26656,228144,419832,1084860,156800,103880,69972
1990-09-01,29400,243628,428064,1131116,158564,104664,82320
1990-09-02,23128,244804,435120,1134448,153860,117012,76636
1990-09-03,22344,244804,436492,1140132,151508,107800,67228
1990-09-04,22736,250684,431004,1150912,151116,77224,65072
1990-09-05,20776,263032,442372,1159928,157780,86828,66248
1990-09-06,19208,265972,444724,1174824,172088,170912,63896
1990-09-07,11760,259896,448448,1164436,180124,176596,51156
1990-09-08,10976,247548,450408,1140132,181692,169540,46844
1990-09-09,10388,244608,436884,1137388,184828,183456,44296
1990-09-10,9408,271852,435904,1148952,188944,178360,19208
1990-09-11,8036,261660,439628,1161496,193844,158172,3920
1990-09-12,15680,246960,422576,1158360,190708,192668,3528
1990-09-13,10388,198548,378672,1161888,204036,181888,10976
1990-09-14,11368,253036,365932,1186976,210112,192472,17248
1990-09-15,9408,266364,367108,1188936,206976,148764,18620
1990-09-16,9996,306740,387492,1177764,205408,147196,18228
1990-09-17,9212,339668,397096,1202656,190708,127792,16464
1990-09-18,8232,366324,419440,1210888,184828,137396,9016
1990-09-19,11172,350644,434924,1214808,185220,135044,6468
1990-09-20,9996,335748,442568,1237348,182868,155820,7448
1990-09-21,13524,347312,449232,1264004,185808,150332,7644
1990-09-22,16268,371812,449428,1274000,191688,134064,6664
1990-09-23,22736,402780,465108,1274000,195020,135436,7644
1990-09-24,26852,399644,480200,1230488,201096,138376,9212
1990-09-25,29204,426300,490588,1165416,204624,150332,6860
1990-09-26,22932,455896,501760,1161104,209916,163268,5684
1990-09-27,19208,459620,504700,1183448,214424,152292,4116
1990-09-28,26852,457072,508816,1199912,220108,148176,2352
1990-09-29,40376,467656,511364,1240876,225596,162092,1568
1990-09-30,50176,474320,511364,1272432,239904,213836,15092
1990-10-01,46256,495488,504896,1333976,254996,231868,13916
1990-10-02,72912,513324,510776,1353576,265972,230888,5292
1990-10-03,95648,531356,516264,1357888,275576,252056,5096
1990-10-04,110544,540176,529396,1355732,280084,232260,4508
1990-10-05,110152,532728,547036,1358476,278124,202272,3528
1990-10-06,78008,523712,552132,1365532,280476,194628,2940
1990-10-07,103684,530376,545664,1374940,299488,215796,7056
1990-10-08,185220,549584,532532,1376900,310072,216972,5880
1990-10-09,193060,574280,509796,1381604,317520,255192,8428
1990-10-10,189728,591332,487256,1381212,342020,260484,10976
1990-10-11,213836,602896,469812,1329272,374948,329672,15680
1990-10-12,220304,615636,477848,1318884,425712,360444,26068
1990-10-13,244020,639940,480200,1323784,448056,381220,41944
1990-10-14,252056,671300,479416,1325548,544096,490588,50176
1990-10-15,234416,721476,483140,1326920,569184,485296,53704
1990-10-16,244216,763028,492156,1323196,545664,537236,37044
1990-10-17,255192,766752,493920,1347304,622692,368088,14308
1990-10-18,262248,797720,496272,1363180,625240,339472,15288
1990-10-19,281848,859068,500584,1383760,586040,415324,38024
1990-10-20,266756,944524,511364,1409436,676396,504896,49196
1990-10-21,266756,944524,511364,1409436,676396,504896,49196
1990-10-22,266756,944524,511364,1409436,676396,504896,49196
1990-10-23,283808,1166592,562520,1469804,740880,569380,63308
1990-10-24,277144,1197168,554876,1440992,752248,572320,70952
1990-10-25,271852,1197168,554876,1432172,752248,559580,76440
1990-10-26,271852,1197168,554876,1432172,752248,559580,76440
1990-10-27,271852,1197168,554876,1432172,752248,559580,76440
1990-10-28,271852,1197168,554876,1432172,752248,559580,76440
1990-10-29,273616,1234800,550172,1494500,751464,660520,131320
1990-10-30,278712,1252832,569772,1526056,754992,666204,179536
1990-10-31,294392,1261652,589764,1552712,754796,673456,193452
1990-11-01,291452,1261456,604464,1566824,765380,673260,194236
1990-11-02,293020,1261260,603484,1560160,765576,684824,216384
1990-11-03,298116,1260868,569968,1604064,765576,693840,217952
1990-11-04,287336,1261260,579180,1554280,765184,679336,189924
1990-11-05,280868,1261260,600740,1527820,765380,668556,144648
1990-11-06,276556,1261260,628768,1605828,763028,646800,134456
1990-11-07,280868,1261260,656992,1634640,742840,652876,166992
1990-11-08,290472,1261652,684628,1637580,745388,681884,162484
1990-11-09,308112,1261652,717556,1638560,746956,732452,195608
1990-11-10,323204,1256556,702464,1638560,751464,745976,217364
1990-11-11,296744,1260476,656012,1634640,752052,782040,254996
1990-11-12,315364,1243228,639352,1627584,757736,787136,263620
1990-11-13,328104,1231272,624064,1627388,758324,815164,280868
1990-11-14,336728,1238132,647388,1636404,761460,827120,315560
1990-11-15,335944,1244012,690704,1636992,765576,831824,343588
1990-11-16,326536,1235780,712264,1637384,765576,835940,346528
1990-11-17,316148,1216768,705600,1638560,765576,833392,335944
1990-11-18,319676,1227548,711872,1638364,765576,840252,356720
1990-11-19,327712,1226960,706972,1638560,765576,831824,385924
1990-11-20,344176,1243620,710500,1638560,765380,838292,422576
1990-11-21,339668,1251656,760480,1637776,765576,834176,447860
1990-11-22,335160,1214808,757540,1638560,765576,841036,475104
1990-11-23,331436,1243816,750288,1638364,765380,837704,477848
1990-11-24,342804,1257928,844368,1638560,765576,842408,491960
1990-11-25,343588,1261456,878276,1638560,765380,842996,505288
1990-11-26,352408,1261652,920612,1638560,765576,843388,483336
1990-11-27,359464,1261652,973140,1638560,765380,798112,479612
1990-11-28,352408,1261652,1014300,1638560,764596,795368,490784
1990-11-29,337512,1261652,1038016,1638560,764400,815164,504308
1990-11-30,338492,1261652,1042916,1638560,764792,827316,530376
1990-12-01,339276,1261652,1047424,1638168,765184,835744,545468
1990-12-02,325164,1261652,1037232,1637580,758324,844956,531552
1990-12-03,322420,1259496,1039976,1638560,765184,847504,513520
1990-12-04,342216,1261652,1010772,1638560,764988,846328,500388
1990-12-05,341236,1260672,975884,1638560,765184,848484,486864
1990-12-06,322420,1260672,968436,1632680,765576,833588,455700
1990-12-07,330260,1260280,983332,1637580,765576,801640,366324
1990-12-08,288708,1260868,1011752,1637384,765184,784980,386904
1990-12-09,278124,1260868,1021944,1637384,764988,801640,396116
1990-12-10,306152,1260868,1018416,1637776,764988,776356,431984
1990-12-11,325360,1260476,1028412,1638560,764792,783804,432376
1990-12-12,358484,1260672,1042328,1637972,764988,782824,428064
1990-12-13,376124,1261260,1044876,1634444,765576,774788,445900
1990-12-14,349860,1261652,1052128,1633856,765380,796740,493136
1990-12-15,351232,1261652,1053108,1635228,764988,795760,475692
1990-12-16,372204,1261652,1053108,1634836,764596,795368,469224
1990-12-17,342412,1261652,1046836,1634640,764008,813988,481180
1990-12-18,349664,1261652,1016456,1635816,764988,808304,464128
1990-12-19,374164,1261652,999600,1634444,765380,820260,499408
1990-12-20,401604,1261652,1011164,1634640,765380,833784,538412
1990-12-21,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-22,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-23,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-24,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-25,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-26,382004,1261652,1040956,1636208,765184,839664,552916
1990-12-27,354368,1261456,1045660,1636600,757344,843388,298900
1990-12-28,348488,1261456,1040368,1635032,762244,849856,275184
1990-12-29,330456,1261260,1041152,1634444,764596,852796,267344
1990-12-30,331632,1261260,1044680,1634444,764988,854168,274792
1990-12-31,323400,1261260,1046640,1630524,765184,852992,286552
1991-01-01,326536,1261456,1048012,1628172,764792,850640,333592
1991-01-02,322812,1261652,1048992,1628368,763420,848876,364952
1991-01-03,337708,1261652,1049384,1629348,762832,849072,383180
1991-01-04,334964,1261652,1047424,1630524,763616,845740,389452
1991-01-05,333004,1261652,1044092,1632288,763812,841232,380240
1991-01-06,332808,1261652,1048208,1633660,758716,842996,394940
1991-01-07,336140,1261456,1049188,1634640,758716,849464,410816
1991-01-08,333592,1261260,1053108,1636404,764792,854560,426692
1991-01-09,325948,1261260,1053108,1637188,765184,852796,438256
1991-01-10,332416,1261260,1053108,1638364,765184,854168,481180
1991-01-11,354956,1261652,1053108,1638560,764596,849072,509208
1991-01-12,372792,1261652,1050952,1638560,764204,845936,527240
1991-01-13,387296,1261456,1046052,1638560,764792,848680,548408
1991-01-14,383768,1261456,1047620,1637972,765576,855932,556248
1991-01-15,386316,1261064,1050560,1635816,765576,858284,484904
1991-01-16,389060,1261260,1052324,1636404,765576,854560,464128
1991-01-17,402388,1261260,1046836,1637580,765576,850052,443744
1991-01-18,408660,1261260,1048404,1637776,765576,846524,439628
1991-01-19,407288,1261260,1051344,1637972,765380,856912,474124
1991-01-20,420616,1261064,1031352,1635816,765380,850836,429632
1991-01-21,415520,1261064,1036644,1635032,765576,838096,384748
1991-01-22,387884,1261064,1046052,1634052,764988,835156,417872
1991-01-23,414932,1261260,1053108,1634248,764988,845936,435316
1991-01-24,382788,1261456,1052128,1632484,765184,852992,464520
1991-01-25,395920,1260280,1034488,1632876,765380,835744,491372
1991-01-26,406700,1261456,1052716,1634836,765380,847504,515088
1991-01-27,397684,1261260,1052520,1636208,765184,858284,485100
1991-01-28,382004,1261064,1053108,1633268,765184,854756,460012
1991-01-29,392784,1260868,1053108,1634836,758128,846132,422968
1991-01-30,420420,1261064,1053108,1635424,753620,849660,407484
1991-01-31,422772,1261456,1052520,1636600,754208,841036,435316
1991-02-01,420812,1261456,1051344,1636012,758716,841624,439040
1991-02-02,392000,1260868,1050168,1635032,761656,842408,405132
1991-02-03,369068,1260672,1049776,1631504,763420,852600,357700
1991-02-04,344568,1260672,1052324,1635032,763420,849268,341824
1991-02-05,399448,1260476,1051932,1634640,756364,836528,300076
1991-02-06,454132,1261652,1053108,1637972,764596,818692,334376
1991-02-07,443940,1261652,1053108,1638364,764988,822808,352016
1991-02-08,441784,1261652,1053108,1638560,765184,832020,382396
1991-02-09,457464,1261652,1053108,1637580,764988,840840,404348
1991-02-10,471968,1261456,1053108,1635816,765576,851228,453936
1991-02-11,470792,1261456,1052912,1636012,765576,858480,503328
1991-02-12,477456,1261456,1053108,1633856,765184,858284,521752
1991-02-13,504504,1261652,1053108,1635816,765380,858480,512148
1991-02-14,500192,1261652,1053108,1637188,765576,851228,510776
1991-02-15,508816,1261652,1052128,1636404,765576,848288,492548
1991-02-16,485296,1261456,1033508,1633856,765576,856716,477848
1991-02-17,469420,1261652,1034684,1632680,765576,856324,485296
1991-02-18,474908,1261456,1047816,1626800,765576,858088,487648
1991-02-19,449036,1261652,1052128,1629544,765380,856324,488432
1991-02-20,439628,1259692,1051148,1631504,765576,856716,508620
1991-02-21,439628,1261652,1049776,1632680,765380,857108,558012
1991-02-22,471380,1261652,1049580,1634640,765380,856912,571536
1991-02-23,507836,1261652,1051736,1633856,765380,849856,533512
1991-02-24,535864,1261652,1050168,1636012,764988,846720,540960
1991-02-25,520968,1261652,1053108,1635816,765576,848680,572908
1991-02-26,499408,1261652,1053108,1635424,765576,856324,590548
1991-02-27,483924,1261652,1052520,1632484,765576,858480,578592
1991-02-28,489216,1261652,1049776,1633268,765380,855148,552524
1991-03-01,471968,1261652,1046052,1635228,765184,854952,524692
1991-03-02,466088,1261652,1052520,1634640,765380,858480,538608
1991-03-03,465696,1261652,1053108,1635032,765380,857892,561932
1991-03-04,470988,1261652,1053108,1635424,765576,858480,564284
1991-03-05,480004,1261652,1053108,1636012,765576,858480,574672
1991-03-06,463932,1261652,1053108,1638168,765576,858480,599956
1991-03-07,470596,1261652,1053108,1638560,765576,858480,603876
1991-03-08,470008,1261652,1053108,1638560,765184,858480,653856
1991-03-09,456288,1261652,1052716,1638168,764988,858480,670124
1991-03-10,450996,1261652,1053108,1637580,764988,858480,683256
1991-03-11,454132,1261652,1053108,1637972,765184,858480,711676
1991-03-12,467656,1261652,1053108,1637384,765576,858480,724220
1991-03-13,464324,1261652,1052912,1637776,765380,858480,689724
1991-03-14,455896,1261652,1053108,1638560,765184,858284,634844
1991-03-15,446880,1261652,1053108,1638560,765576,857500,599368
1991-03-16,449036,1261652,1053108,1638560,765576,856716,594664
1991-03-17,473536,1261652,1053108,1638560,765576,857500,617008
1991-03-18,465500,1261652,1053108,1638560,765576,858284,653660
1991-03-19,443352,1261652,1053108,1638560,765576,858284,667380
1991-03-20,409248,1261652,1053108,1638560,765576,858480,656796
1991-03-21,403564,1261652,1053108,1638560,765184,858480,641704
1991-03-22,411012,1261652,1053108,1638560,764792,854560,604072
1991-03-23,401604,1261652,1053108,1638560,763616,849072,533512
1991-03-24,412580,1261652,1053108,1638560,762636,837508,506856
1991-03-25,446488,1261652,1053108,1638560,760088,836528,493528
1991-03-26,431396,1261652,1053108,1638560,753620,844172,484316
1991-03-27,447468,1261652,1053108,1638560,744996,830060,467460
1991-03-28,474124,1261652,1052716,1638560,738332,820260,505680
1991-03-29,489804,1261652,1053108,1638168,744604,825356,538412
1991-03-30,497840,1261652,1053108,1638364,745976,851424,579376
1991-03-31,503916,1261652,1053108,1638560,765576,856520,573888
1991-04-01,499212,1261652,1053108,1638560,765576,854756,591332
1991-04-02,507444,1261652,1053108,1638560,763420,858284,625044
1991-04-03,504308,1261652,1053108,1638560,760480,855344,601328
1991-04-04,469028,1261652,1053108,1638560,749896,851032,586432
1991-04-05,487060,1261652,1053108,1638560,764792,854952,606424
